ID,SekolahPerikanan,NamaProvinsi,TahunAjaran,JumlahPendaftar,JumlahKapasitas,Persentase
101,SUPM Negeri Kupang,Nusa Tenggara Timur,2010/2011,51,40,78.43137255
102,SUPM Waeheru,Maluku,2010/2011,383,125,32.63707572
103,Akademi Perikanan Sorong ,Papua Barat,2010/2011,103,87,84.46601942
104,SUPM Sorong,Papua Barat,2010/2011,157,144,91.71974522
105,SUPM Ladong,Aceh,2011/2012,310,147,47.41935484
106,SUPM Pariaman,Sumatera Barat,2011/2012,509,158,31.04125737
107,SUPM Kota Agung,Lampung,2011/2012,217,75,34.56221198
108,Sekolah Tinggi Perikanan,DKI Jakarta,2011/2012,425,139,32.70588235
109,SUPM Tegal,Jawa Tengah,2011/2012,512,217,42.3828125
110,Akademi Perikanan Sidoarjo ,Jawa Timur,2011/2012,387,125,32.2997416
111,SUPM Pontianak,Kalimantan Barat,2011/2012,326,156,47.85276074
112,Akademi Perikanan Bitung ,Sulawesi Utara,2011/2012,136,114,83.82352941
113,SUPM Bone,Sulawesi Selatan,2011/2012,262,164,62.59541985
114,SUPM Negeri Kupang,Nusa Tenggara Timur,2011/2012,44,40,90.90909091
115,SUPM Waeheru,Maluku,2011/2012,224,172,76.78571429
116,Akademi Perikanan Sorong ,Papua Barat,2011/2012,135,109,80.74074074
117,SUPM Sorong,Papua Barat,2011/2012,184,163,88.58695652
